Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
… gloria mundi,Vygandas Ostrauskis,Lietuvių autorių romanai,2018,244,10.21,9.19,0,Kauko laiptai,"17 x 24 x 1,8 cm, kieti viršeliai",Lietuvių,5,5
...kai akyse suspindi ilgesys...,Sandra Avižienytė,"Poezija, drama, esė",2005,88,0,0,0,Pasviręs pasaulis,"15 x 21,8 x 1 cm, kieti viršeliai",Lietuvių,1,5
...o buvo taip,Ieva Simonaitytė,"Biografijos, publicistika",1977,798,0,0,5.39,Vaga,"13 x 20,5 x 4 cm, kieti viršeliai",Lietuvių,0,0
"ANDROMEDOS ŠTAMAS. Atnaujinta fantastikos klasika, pirmasis technologinis trileris apie žmoniją naikinantį užkratą iš kosmoso",Michael Crichton,Fantastika,2023,324,16.79,13.43,16.79,Kitos knygos,"14 x 20 x 3 cm, kieti viršeliai",Lietuvių,4,4
„Basilisko“ stotyje (PFAF 298),David Weber,Fantastika,2004,303,0,0,0,Eridanas,"13 x 19,5 x 1,5 cm, minkšti viršeliai",Lietuvių,0,0
Dailiausia moteris mieste,Charles Bukowski,Užsienio autorių romanai,2021,352,13.29,8.64,13.29,Kitos knygos,"14,5 x 20 x 2,5 cm, minkšti viršeliai",Lietuvių,5,5
"Einu žeme, skrendu vėju (su CD)",Antanas Strazdas,"Poezija, drama, esė",2018,215,10.69,9.62,0,Lietuvių literatūros ir tautosakos institutas,"19,5 x 19,5 x 1,5 cm, kieti viršeliai",Lietuvių,1,5
„Ežero“ viešbutis,Anita Brookner,Užsienio autorių romanai,1995,174,0,0,4.29,Alma littera,"13 x 20,5 x 1 cm, kieti viršeliai",Lietuvių,0,4
„Ikaro“ medžioklė (PFAF 286),Timothy Zahn,Fantastika,2003,318,0,0,0,Eridanas,"13 x 20 x 1 cm, minkšti viršeliai",Lietuvių,0,0
„Jamaikos“ smuklė (1995),Daphne du Maurier,Užsienio autorių romanai,1995,313,0,0,2.09,Žaltvykslė,"13 x 20 x 2 cm, kieti viršeliai",Lietuvių,0,0
„Kardinolo“ šūvis,Petras Šatkus,"Detektyvai, trileriai",1999,303,0,0,12.99,Naujoji Rosma,"13 x 20,5 x 1,5 cm, kieti viršeliai",Lietuvių,1,5
„Kupranugario“ klubas,David Baldacci,"Detektyvai, trileriai",2020,464,13.69,12.32,13.69,Mileda,"15,3 x 21,6 x 4 cm, kieti viršeliai",Lietuvių,0,4
„Lady Box“. „Kaip tapti dama“ knygų serija,Eglė Zakaraitė,Lietuvių autorių romanai,2021,464,46.79,37.43,46.79,Eglė Zakaraitė,"20 x 22 x 8 cm, minkšti viršeliai",Lietuvių,1,5
„Oro žmonių“ trilogija: Leonardo braižas + Petruškos sindromas + Baltoji Kordobos balandė,Dina Rubina,Užsienio autorių romanai,2017,464,0,0,0,Nordina,"14,5 x 21 x 3 cm, minkšti viršeliai",Lietuvių,1,5
„Ramybės“ vynuogynas,María Dueñas,Meilės romanai,2016,560,0,0,4.99,Alma littera,"14,3 x 23,5 x 3,8 cm, kieti viršeliai",Lietuvių,3,4
„Rojalio“ kazino (1992),Ian Fleming,Užsienio autorių romanai,1992,96,0,0,4.59,Alma littera,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Vėjavaikė,Antonas Čechovas,Klasika,1961,421,0,0,0,Valstybinė grožinės literatūros leidykla,"11,5 x 17 cm, kieti viršeliai",Lietuvių,0,0
7 kvadratiniai metrai,Žygimantas Digaitis,"Biografijos, publicistika",2014,240,0,0,2.19,Bernardinai.lt,"15 x 14 cm, minkšti viršeliai",Lietuvių,2,4
Algimantas (1989),Vincas Pietaris,Klasika,1989,432,0,0,2.00,Vaga,"15 x 21 cm, kieti viršeliai",Lietuvių,1,5
Eroto glėbyje,Arkadijus Vinokuras,Lietuvių autorių romanai,2008,200,0,0,4.47,Arkadijus Vinokuras,15 x 22 cm,Lietuvių,0,3
Gaudi mįslė,Esteban Martin,Užsienio autorių romanai,2008,448,0,0,20.19,Versus Aureus,"14 x 22 cm, kieti viršeliai",Lietuvių,1,5
Iš Afrikos,Karen Blixen,"Biografijos, publicistika",2024,448,0,0,7.00,Tyto alba,"14 x 22 cm, kieti viršeliai",Lietuvių,2,5
Iš ten sugrįžtantiems,Aleksandras Bosas,"Poezija, drama, esė",2014,135,0,0,0,ARX Reklama,"20 x 11 x 0,7 cm, minkšti viršeliai",Lietuvių,0,0
