Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,ISBN,Leidėjas,Viršelio tipas,Ilgis,Plotis,Storis,Kalba,Vertėjas,Įvertinimų skaičius,Žvaigždučių skaičius,Aprašymas
Vėjavaikė,Antonas Čechovas,Klasika,1961,421,0,0,0,,Valstybinė grožinės literatūros leidykla,kieti,5.0,17.0,,Lietuvių,"J. Paukštelis, E. Viskanta",0,0,"Kunigaikštienė
Nuobodi istorija
Vagys
Gusevas
Bobos
Dvikova
Žmona
Vėjavaikė
Grįžus iš teatro
Ištrėmime"
7 kvadratiniai metrai,Žygimantas Digaitis,"Biografijos, publicistika",2014,240,0,0,2.19,9786098086072,Bernardinai.lt,minkšti,15.0,14.0,,Lietuvių,,2,4,"Unikali knyga, kalinčio jauno vyro, iki kalėjimo beveik nieko neskaičiusio ir tikrai nemaniusio tapti rašytoju, dienoraštis. 7 kvadratiniai metrai – tokio dydžio yra kamera, kurioje Žygimantas prižiūrėjo kitą kalinį, praradusį visus socialinius įgūdžius. Monotoniška kasdienybė, beviltiški atsidūsėjimai, varginanti kito žmogaus priežiūra, šiurkšti kaip gyvenimas leksika pamažu, labai skaudžiai atveria mums Šviesos paradoksą, priverčiantį ryžtis neįveikiamiems žingsniams.
„Tiems, kas kartu su pora žmogžudysčių ir krūva kitokių tamsos darbelių susitepusiu kaliniu pasiryšite ieškoti, kaip ir iš kur ima galią Šviesos paradoksas, tiek popiežius, tiek ir nusikaltėlius priverčiantis ryžtis, regis, neįveikiamiausiems žingsniams, linkiu sėkmės prisėdant toli gražu ne prie šventadienių skaitinių. Gal jums iš šių pelenų pavyks įžiebti ugnį ir iškasti auksą. Bent trumpam. Kad nušvistų akys, ar net ne vien jos.“ 
Knygos redaktorė Elvyra Kučinskaitė
 „Perskaitykite šią knygą ne smalsiai. Širdimi. Tik taip išgirsite skambančią Amžinybę, bet kokiame kambarėlyje tveriančią erdves. Ypač tame, kur du iki tol nepažįstami žmonės tveria vienas kitą. Tose erdvėse gimsta santykis. Su Juo, per Jį ir Jame. Santykis Kristuje – pats žmogiškiausias iš visų galimų šioje žmonių planetoje. Visuomet tik prasidedantis, niekuomet nesibaigiantis.“
 Lukiškių tardymo izoliatoriuje – kalėjime kalinčiųjų nuteistųjų kapelionas kun. Arūnas Pranciškus Peškaitis OFM"
1 minutės pasakaitės prieš miegą,Žygimantas Digaitis,Pasakos,2019,44,0,0,6.99,9786090138830,Alma littera,kieti,5.0,0.0,0.9,Lietuvių,Ina Jakaitė,4,4,"3- 6 m. vaikams.Laimingajame miestuke gyvena mieli draugai: batsiuvys Kengūrius, dailininkė Boružėlė, santechnikas Strutis, inžinierius Bebras, sodininkė Ožkytė ir dar daug kitų. Šioje knygoje surinktos jų linksmos, žaismingos ir šviesios istorijos, kurias galima perskaityti labai greitai – vos per minutę......tą tikrai ypatingą minutę visai prieš užmerkiant akeles ir sušnibždant: „Labos nakties!“„1 minutės pasakaitės prieš miegą“:
•    Lavina vaizduotę•    Moko gerumo, išminties ir šmaikštumo•    Švelnios ir šviesios pasakėlės nuteikia maloniai prieš miegą"
2D ir kiti formatai,Dainius Dirgėla,"Poezija, drama, esė",2020,112,7.29,5.83,0,9786094801549,Lietuvos rašytojų sąjungos leidykla,minkšti,5.0,1.0,,Lietuvių,,0,4,"Naujoje poezijos knygoje „2D ir kiti formatai"" Dainius Dirgėla kuria poetinio paradokso pasaulį iš kasdienybės fragmentų, žaismingai ir ironiškai buityje mėgindamas rasti būties apraiškų. Kartu atsigręždamas į savo šaknis ir ieškodamas savo asmeninio santykio su šiuolaikiniu pasauliu.
Pats poetas knygą pristato taip: „Tai knyga ne apie geometriją, ne apie senovės graikų matematiko Euklido aprašytą dviejų dimensijų plokštumą 2D, kurią apibrėžia ašys X ir Y. Ir ne apie dvimačius animacinius filmukus ar kompiuterinę grafiką. Ši knyga apie pasaulį 2D, kurio erdves ir patirtis apibrėžia mano vardo ir pavardės pirmosios raidės D. Kad viskas neatrodytų taip vienpusiška ir plokščia kaip 2D geometrijoje, čia yra ir 3D, ir kiti poetiniai formatai.""
Dainius Dirgėla poezijos skaitytojų atmintyje pirmiausia iškyla kaip autorius iš poetų sambūrio „Svetimi"", XX a. paskutiniajame dešimtmetyje smarkiai drumstusio literatūros vandenis ir sukėlusio nemenką skersvėjį.
Knygos išleidimą iš dalies finansavo Lietuvos kultūros taryba."
3 D nuotraukos. Ūkio gyvūnai,Dainius Dirgėla,Knygos mažiausiems,2011,64,0,0,0,9786090100820,Alma littera,minkšti,20.0,27.0,,Lietuvių,Renata Taučiūtė,0,0,"Žavios nuotraukos ir puikūs tavo mėgstamų gyvūnų 3D vaizdai. Užsidėk 3D akinius ir gyvūnai atgis! Žaisdamas pažink ūkio gyvūnus,  tyrinėk stulbinančius 3D vaizdus ir sužinok apie gyvūnus neįtikėtinų faktų."
4 % šlovės,Deborah Schoeneman,Užsienio autorių romanai,2006,328,0,0,2.50,9789955380252,Alma littera,kieti,2.0,2.0,0.7,Lietuvių,Vilija Vitkūnienė,0,3,"Keitė Saimons, Timas Mekas ir Bleikas Bredlis dirba įtakingiausiuose Niujorko žurnaluose. Nuo viešumos akylai slepiami Manhatano garsenybių gyvenimo užkulisiai – jų kasdienybė. Draugai, mylimieji ir „draugapriešiai“ šiame blizgiame, bet nuožmiame garsenybių pasaulyje atsiranda ir išnyksta taip pat greitai, kaip ir pačių garsenybių šlovė, tačiau jaunieji žurnalistai privalo žaibiškai susivokti, ką verta ginti, o ką – demaskuoti. Ir tuo pat metu – stengtis jokiu būdu neįkliūti į Manhatano žaidėjų spendžiamas pinkles.


Kokių paslapčių būta gašlūno restorano savininko praeityje? Ir ar tiesa, kad paskalų žurnalistė padėjo jam padaryti karjerą? Kuriam bulvarinio laikraščio bendradarbiui vertėtų atsargiau elgtis su merginomis? Ir ar tiesa, kad už vienos svaigios naktelės su „lovatiese“ padarinius jam gali tekti sumokėti draugyste su Parko aveniu princese? Kuris Volstrito magnatas galėjo būti pričiuptas dėl neaiškios mokesčių matematikos? Ir ar tiesa, kad jį išgelbėjo žinutes rašinėjantis sūnus, iškapstęs kitą „sensaciją“ ir taip atitraukęs visų dėmesį nuo tėtušio milijardieriaus aferų?

Garsenybių pasaulio džiunglės jaunųjų žurnalistų trijulei pateikia išties daug iššūkių. O viskas dar labiau susikomplikuoja jiems įkliuvus ir į savo pačių jausmų trikampius..."
4-mečio pasaulis. Pirma knygelė. Mažylio akademija,Krystyna Bardos,Veiklos knygelės,2014,24,0,0,0,9789955227007,Presvika,minkšti,20.0,19.0,,Lietuvių,Jūratė Žižytė,1,5,"Lavinamųjų užduotėlių knygelė keturmečiams. Ji padės: 

 ugdyti vaizduotę ir dėmesį, 


 lavinti pastabumą ir miklinti ranką, 


 susipažinti su pagrindinėmis spalvomis ir gyvūnų balsais, 


 įgusti jungti ir derinti. 

Knygelėje esančios užduotėlės skatins vaiką judėti ir mąstyti. Jos pateiktos pokalbio su vaiku forma, tad leidžia efektyviau su juo bendrauti. 
Dėmesio! Klijuoti lipdukus mažyliams turėtų padėti suaugusieji."
5 minučių Ezopo pasakėčios,Krystyna Bardos,Pasakos,2023,48,6.49,5.84,0,9789955079897,Trys nykštukai,kieti,20.0,23.0,1.0,Lietuvių,Alfredas Steiblys,0,0,"Įženk į gyvūnų – nuo atkaklaus vėžlio iki nekantraus kiškio, nuo didingo liūto iki mažiukės dėkingos ir ištikimos jo draugės – pasaulį ir sužinosi šešias nuotaikingas istorijas ir šešis naudingus pamokymus ir patarimus, kurie per kelis tūkstančius metų nė kiek nepaseno.
Paveikslėliai juokingi ir labai tinka žiūrinėti, prisiglaudus prie pasaką skaitančios mamytės. Arba tėvelio.
Atpasakojo Mandy ArcherIliustravo Gabi Murphy"
12 smagių vakaro pasakėlių,Krystyna Bardos,Knygos mažiausiems,2021,192,0,0,21.39,9786090506448,Egmont Lietuva,kieti,5.0,1.0,,Lietuvių,Greta Andrijauskaitė,1,5,"Kartu su Alisa ieškokite skanėstų Širdžių Karalienei, su Maiklu ir Piteriu Penu kaukitės prieš kapitoną Kablį, padėkite Dambiui gelbėti į pavojų patekusią mamą. Patirkite įdomiausių nutikimų pasakų šalyje!
Knyga ikimokyklinio ir jaunesniojo mokyklinio amžiaus vaikams."
Kakė Makė ir dovanų dėžutė,Lina Žutautė,Kakė Makė,2024,40,12.19,8.29,12.19,9786090163108,Alma littera,kieti,4.0,0.0,0.8,Lietuvių,,3,3,"2–6 m. vaikams.
Ar dovanoti gali būti taip pat smagu, kaip gauti dovanų? Kakė Makė netrukus patirs ir pati sukurs tikrą stebuklą!
Kakei Makei labai patinka dovanos, todėl ji iškart susidomi sendaikčių turguje rasta KALĖDINIŲ DOVANŲ DĖŽUTE. Joje dvylika langelių, o galima atidaryti tik po vieną per dieną. Kakė Makė nekantrauja atverti visus langelius, bet greitai ją užklumpa nusivylimas. Dėžutėje senos ir niekam nereikalingos smulkmenėlės... Bet ar tikrai?
O didžiausia staigmena Kakės Makės laukia atvėrus paskutinį langelį – jai teks išspręsti galvosūkį ir sukurti tikrą STEBUKLĄ.
„Ši knygelė mažiesiems skaitytojams dovanoja nuostabią istoriją apie tai, kas iš tiesų yra Kalėdos. Knygelė primena mums visiems apie galimybę daryti stebuklus iš paprastų, kasdienių dalykų bei dovanos ir dovanojimo prasmę. Mokydami to vaikus, matysime jų veiduose plačias šypsenas, o širdelėse – stiprėjančias žmogiškas vertybes.“ – Psichologė Asta Blandė
Knygos pabaigoje rasite psichologės patarimų tėveliams ir idėją, kaip sukurti tokį patį stebuklą, kokį šioje knygelėje patyrė Kakė Makė.
„Kakė Makė ir dovanų dėžutė“:

Smagi ir pamokoma istorija.
Skatina patirti dovanojimo ir gerumo džiaugsmą.
Ugdo emocinį intelektą, kūrybingumą ir vaizduotę.
Meniškai vertinga knyga, lavina literatūrinį bei estetinį suvokimą.

Kakės Makės paveikslėlių knygos – itin populiari knygelių serija apie penkerių metų mergaitę, kuri mėgaujasi vaikyste ir bando pažinti ją supantį pasaulį! O pažindama jį herojė susiduria su įvairiomis situacijomis ir iššūkiais. Netikėtos istorijos, pasakojamos pasitelkiant gausybę unikalių iliustracijų, ne moralizuoja, o padeda sužadinti vaiko vaizduotę ir skatina jį patį rasti teisingą atsakymą.
Lina Žutautė – vaikų pamėgta dailininkė ir rašytoja, gimusi ir iki šiol gyvenanti Šiauliuose. Pirmoji autorės knyga „Kakė Makė ir Netvarkos nykštukas“ pasirodė 2010 m. ir Tarptautinės vaikų ir jaunimo literatūros asociacijos (IBBY) Lietuvos skyriaus buvo pripažinta geriausia knyga mažiesiems skaitytojams. 2013 m. Linai Žutautei įteikta vaikų literatūros premija už vaizdo ir žodžio dermę kūryboje vaikams. Autorės kūryba išversta į latvių, estų, rusų, danų, italų, korėjiečių ir daug kitų kalbų. Sukūrusi vieną žymiausių lietuviškų literatūros personažų – Kakę Makę – autorė nesiliauja mažųjų skaitytojų stebinti vis naujomis istorijomis!"
