Pavadinimas,Autorius,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius,Aprašymas
Mano pirmoji dėlionė. Kalėdų Senelio staigmenos,Anna Casalis,2014,10,0,0,0,Presvika,"17 x 17 cm, kieti viršeliai",Lietuvių,2,2,
"KAIP KIŠKIS MOKĖSI DRĄSOS: smagi ir įtaigi paveikslėlių knyga parodanti, kad iš tiesų esame kur kas drąsesni, nei galvojame",Nicola Kinnear,2019,32,0,0,0,Alma littera,"25 x 27,5 x 0,8 cm, kieti viršeliai",Lietuvių,9,5,
(Ne)suskaičiuotos miego avelės,Lena Hesse,2018,32,0,0,0,Debesų ganyklos,"20,8 x 29,5 x 0,6 cm, kieti viršeliai",Lietuvių,2,5,
(NE)VIENAS,Ieva Babilaitė,2018,40,0,0,10.59,Tikra knyga,"22 x 26 x 0,8 cm, kieti viršeliai",Lietuvių,3,5,
Paskambink princesei. Mano išmanusis telefonas,Ieva Babilaitė,2014,10,0,0,0,Presvika,"24 x 27.5 cm, kieti viršeliai",Lietuvių,0,0,
1 minutės pasakaitės prieš miegą,Ieva Babilaitė,2019,44,0,0,6.99,Alma littera,"24,5 x 24,5 x 0,9 cm, kieti viršeliai",Lietuvių,4,4,
10 mažylių. Išdykėliai šuniukai,Ieva Babilaitė,2013,20,4.54,4.09,0,Ramduva,"20 x 29 cm, kieti viršeliai",Lietuvių,2,5,
10 mažylių. Keliauninkai meškiukai,Ieva Babilaitė,2013,20,4.54,4.09,0,Ramduva,"20 x 29 cm, kieti viršeliai",Lietuvių,1,5,
10 mažylių. Smalsuoliai viščiukai,Ieva Babilaitė,2013,20,4.54,4.09,0,Ramduva,"20 x 29 cm, kieti viršeliai",Lietuvių,3,5,
"100 gyvūnų, kurie gyvena pasaulio miškuose",Ieva Babilaitė,2019,24,4.86,4.37,0,Trys nykštukai,"13 x 16 x 3 cm, kieti viršeliai",Lietuvių,0,0,
100 gyvūnų: mokausi kalbėti,Ieva Babilaitė,2019,30,0,0,0,Alma littera,"15 x 18,5 x 2 cm, kieti viršeliai",Lietuvių,3,5,
100 nuotraukų. Gyvūnai,Ieva Babilaitė,2012,20,0,0,0,Presvika,"21 x 23,5 cm, kieti viršeliai",Lietuvių,0,0,
100 nuotraukų. Transportas,Ieva Babilaitė,2012,20,0,0,0,Presvika,"21 x 23,5 cm, kieti viršeliai",Lietuvių,0,0,
100 nuotraukų. Ūkis,Ieva Babilaitė,2012,20,0,0,0,Presvika,"21 x 23,5 cm, kieti viršeliai",Lietuvių,0,0,
100 pasaulio gyvūnų,Ieva Babilaitė,2019,24,4.86,3.16,0,Trys nykštukai,"13 x 16 x 3 cm, kieti viršeliai",Lietuvių,0,0,
100 pirmųjų žodžių,Austė Šaliamoraitė-Nasickė,2024,24,6.69,6.02,0,Baltos lankos,"12,7 x 15,7 x 2,2 cm, kieti viršeliai",Lietuvių,0,0,
100 žodžių: mokausi kalbėti,Austė Šaliamoraitė-Nasickė,2019,30,0,0,0,Alma littera,"15 x 18,5 x 1,9 cm, kieti viršeliai",Lietuvių,0,0,
101  Dalmatinas. Dėlionių knyga,Austė Šaliamoraitė-Nasickė,2016,10,0,0,0,Egmont Lietuva,"22,5 x 19 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
101 dalmatinas. Knyga pagal filmą,Austė Šaliamoraitė-Nasickė,2016,42,0,0,12.99,Egmont Lietuva,"20,5 x 29,5 x 0,6 cm, kieti viršeliai",Lietuvių,0,0,
101 Dalmatinas. Gražiausių pasakų kolekcija,Austė Šaliamoraitė-Nasickė,2019,48,0,0,4.59,Egmont Lietuva,"20,5 x 23 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
101 dalmatinas (Didelės raidės),Disney,2009,34,0,0,12.99,Egmont Lietuva,"21 x 30 cm, kieti viršeliai",Lietuvių,0,0,
101 ūkio gyvūnas,Lieve Boumans,2013,24,0,0,0,Vaiga,"19 x 23 cm, kieti viršeliai",Lietuvių,0,0,
